symbol,id,issue_share,history,company_profile,icb_name3,icb_name2,icb_name4,financial_ratio_issue_share,charter_capital
BMF,68200,15848063," - Đầu năm 1982: Tiền thân là Công ty Kinh doanh Vật liệu Xây dựng và Xây lắp được thành lập;  - Ngày 05/09/1992: Được thành lập lại và đổi tên thành Công ty Vật liệu Xây dựng và Chất đốt Đồng Nai theo Quyết định số 1152/QĐ-UBT của UBND Tỉnh Đồng Nai;  - Ngày 06/01/2004: Chuyển đổi thành Công ty Cổ phần Vật liệu Xây dựng và Chất đốt Đồng Nai vốn điều lệ ban đầu là 10,4 tỷ đồng theo Giấy chứng nhận đăng ký kinh doanh số 3600661303 cấp lần đầu bởi Sở Kế hoạch và Đầu tư Tỉnh Đồng Nai;  - Ngày 27/05/2008: Tăng vốn điều lệ lên 13 tỷ đồng;  - Ngày 24/02/2017: Tăng vốn điều lệ lên 20.798.000.000 đồng;  - Ngày 07/03/2018: Trở thành công ty đại chúng;  - Ngày 16/04/2018: Giao dịch trên thị trường UPCOM;  - Ngày 16/07/2019: Tăng vốn điều lệ lên 41.596 tỷ đồng;  - Ngày 30/10/2023: Tăng vốn điều lệ lên158 tỷ đồng;","Công ty Cổ phần Vật liệu Xây dựng và Chất đốt Đồng Nai (BMF) có tiền thân là Công ty Kinh doanh Vật liệu Xây dựng và Xây lắp, được thành lập vào đầu năm 1982. Công ty hoạt động chính trong lĩnh vực kinh doanh, phân phối, bán buôn, bán lẻ các mặt hàng xăng dầu, khí hóa lỏng, chất đốt. BMF chính thức hoạt động theo mô hình công ty cổ phần từ năm 2004. Công ty đã xây dựng hệ thống bản lẻ xăng dầu với 10 cửa hàng nằm trên địa bàn tỉnh Đồng Nai. Thị trường bán buôn xăng dầu của Công ty nằm tại các khu vực như các khu công nghiệp ở Đồng Nai và các khu vực lân cận. BMF được giao dịch trên thị trường UPCOM từ tháng 04/2018.",Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Phân phối xăng dầu & khí đốt,15848063,158480630000
QNS,73611,367648153," - Năm 2005: Công ty Cổ phần Đường Quảng Ngãi được thành lập với vốn điều lệ là 49,9 tỷ đồng;  - Năm 2007: Trở thành Công ty đại chúng;  - Năm 2008: Thành lập Công ty TNHH MTV Thương Mại Thành Phát;  - Năm 2010: Nhà máy Cồn rượu chính thức giải thể và nhà máy Đường Quảng Phú dừng hoạt động;  - Năm 2011: Thành lập Xí nghiệp cơ giới Nông nghiệp và Trung tâm môi trường và nước sạch;  - Năm 2012: Thành lập nhà máy Sữa đậu nành Vinasoy Bắc Ninh;  - Năm 2013: Xây dựng nhà máy Sữa đậu nành Vinasoy thứ 2 tại Bắc Ninh và thành lập trung tâm nghiên cứu và ứng dụng đậu nành;  - Ngày 20/10/2016: Tăng vốn điều lệ lên 1.875.493.730.000 đồng;  - Ngày 20/12/2016: Giao dịch trên thị trường UPCOM;  - Ngày 02/07/2018: Tăng vốn điều lệ lên 2.925.746.090.000 đồng;  - Ngày 22/07/2019: Tăng vốn điều lệ lên 3.569.399.550.000 đồng;  - Ngày 05/08/2024: Tăng vốn điều lệ lên 3.676.481.530.000 đồng;","Công ty Cổ phần Đường Quảng Ngãi (QNS), tiền thân là Công ty Đường Quảng Ngãi, được cổ phần hóa vào năm 2005. Công ty chuyên chế biến đường, mật, thực phẩm, đồ uống; sản xuất và kinh doanh nước khoáng và kinh doanh thương mại, dịch vụ tổng hợp và hoạt động xuất nhập khẩu. Công ty là doanh nghiệp dẫn đầu trong phân khúc sữa đậu nành với thị phần là 88,6%. Mỗi năm Công ty tạo ra hơn 1 triệu sản phẩm sữa đậu nành phục vụ cho người tiêu dùng trong nước. Nhà máy sữa đậu nành Vinasoy có tổng công suất là 390 triệu lít/năm. Ngoài ra, nhà máy Bia Dung Quất của Công ty có công suất lên đến 100 triệu lít/năm và nhà máy đường An Khê có công suất 10.000 tấn/năm. Công ty có hệ thống phân phối sản phẩm rộng khắp cả nước và xuất khẩu các mặt hàng bánh kẹo, bia và nước khoáng ra nước ngoài. QNS chính thức được giao dịch trên thị trường UPCOM từ Ngày 20/12/2016.",Sản xuất thực phẩm,Thực phẩm và đồ uống,Thực phẩm,367648153,3676481530000
CDR,69506,2133271," - Ngày 01/01/1987: Xí nghiệp Xây dựng được thành lập;  - Ngày 28/11/1994: Chuyển đổi thành Xí nghiệp Xây dựng và Giao Thông theo Giấy chứng nhận đăng ký kinh doanh số 301736 cấp bởi Sở Kế hoạch và Đầu tư tỉnh Đồng Nai;  - Ngày 19/11/2007: Tập đoàn Công nghiệp Cao su Việt Nam ban hành Quyết định số 1180/QĐ-CSVN về việc phê duyệt phương án và chuyển Xí nghiệp Xây dựng và Giao Thông thành công ty cổ phần;  - Ngày 05/03/2008: Chính thức hoạt động theo mô hình công ty cổ phần với vốn điều lệ 16 tỷ đồng theo Giấy chứng nhận đăng ký kinh doanh số 4703000510 cấp bởi Sở Kế hoạch và Đầu tư tỉnh Đồng Nai;  - Ngày 07/08/2009: Trở thành công ty đại chúng;  - Ngày 26/06/2017: Giao dịch trên thị trường UPCOM;  - Ngày 15/12/2021: Tăng vốn điều lệ lên 21,3 tỷ đồng;","Công ty Cổ phần Xây dựng Cao su Đồng Nai (CDR) có tiền thân là Xí nghiệp Xây dựng, được thành lập vào năm 1987. Công ty hoạt động chính trong lĩnh vực sản xuất vật liệu bê tông tươi, bê tông nhựa nóng, và xây dựng công trình dân dụng, công nghiệp, giao thông, thủy lợi. Công ty chính thức hoạt động theo mô hình công ty cổ phần từ năm 2008. CDR đã thi công một số công trình tiêu biểu như: Nhà máy chế biến mủ Xà Bang thuộc Công ty Cao su Bà Rịa, Khu trung tâm hành chính huyện Thống Nhất, Trường THCS Long Đức  - Huyên Long Thành, Nhà máy chế biến mủ Xuân Lập, Trụ sở Nông trường 2 Công ty Cao su Bình Thuận, Trạm cấp nước sạch Khu công nghiệp Bàu Xéo...CDR được giao dịch trên thị trường UPCOM từ tháng 06/2017.",Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2133271,21332710000
CT3,68944,8799849," - Ngày 10/08/1977: Công ty Công trình Đường sắt 3 trực thuộc Tổng cục Đường sắt (nay là Tổng Công ty Đường sắt Việt Nam) được thành lập theo Quyết định số 1125 TC/QĐ của Bộ Giao thông Vận tải;  - Ngày 27/05/1993: Doanh nghiệp Nhà nước Công ty Công trình Đường sắt 3 được thành lập theo Quyết định số 1024/QĐ/TCCB-LĐ của Bộ Giao thông Vận tải;  - Ngày 31/12/2003: Bộ Giao thông Vận tải ban hành Quyết định số 4036/QĐ-BGTVT về việc chuyển Doanh nghiệp Nhà nước Công ty Công trình Đường sắt 3 thành công ty cổ phần;  - Ngày 23/09/2004: Chính thức chuyển đổi thành Công ty Cổ phần Đầu tư và Xây dựng công trình 3 với vốn điều lệ 13.439.600.000 đồng theo Giấy chứng nhận đăng ký kinh doanh cấp lần đầu bởi Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh;  - 2006: Tăng vốn điều lệ lên 15,4 tỷ đồng;  - 2008: Tăng vốn điều lệ lên 21,8 tỷ đồng;  - Ngày 20/11/2009: Giao dịch trên thị trường UPCOM;  - 2016: Tăng vốn điều lệ lên 80 tỷ đồng;  - Ngày 04/01/2023: Tăng vốn điều lệ lên 87 tỷ đồng;","Công ty Cổ phần Đầu tư và Xây dựng công trình 3 (CT3) có tiền thân là Công ty Công trình Đường sắt 3 được thành lập vào năm 1977. Công ty hoạt động chính tronh lĩnh vực thi công công trình cầu, đường sắt và các kết cấu hạ tầng ngành đường sắt. CT3 chính thức hoạt động theo mô hình công ty cổ phần từ năm 2004. Công ty là một trong 3 đơn vị xây dựng cơ bản đứng đầu của Tổng công ty đường sắt Việt Nam và là đơn vị thi công cầu, đường sắt duy nhất đóng tại địa bàn Thành phố Hồ Chí Minh. CT3 được giao dịch trên thị trường UPCOM từ tháng 11/2009.",Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,8799849,87998490000
SDA,73952,26206158," - Ngày 31/10/1997: Tiền thân của công ty là Trung tâm hợp tác lao đông nước ngoài Sông Đà được thành lập.  - Ngày 05/06/2000: Công ty chuyển đổi thành Công ty Cung ứng Nhân lực quốc tế và Thương mại Sông Đà.  - Ngày 18/06/2003: Công ty chuyển thành Công ty Cổ phần SIMCO Sông Đà với số vốn điều lệ là 3 tỷ đồng.  - Tháng 09/2004: Tăng vốn điều lệ lên 5 tỷ đồng.  - Tháng 07/2005: Tăng vốn điều lệ lên 10 tỷ đồng.  - Tháng 06/2006: Tăng vốn điều lệ lên 20 tỷ đồng.  - Ngày 21/12/2006: Công ty niêm yết cổ phiếu tại HNX.  - Tháng 09/2007: Tăng vốn điều lệ lên 70 tỷ đồng.  - Năm 2008: Tăng vốn điều lệ lên 91 tỷ đồng.  - Năm 2010: Tăng vốn điều lệ lên 109,2 tỷ đồng.  - Năm 2011: Tăng vốn điều lệ lên 131,03 tỷ đồng.  - Tháng 08, 2015: Tăng vốn điều lệ lên 262.06 tỷ đồng.","Công ty Cổ phần SIMCO Sông Đà (SDA) tiền thân là Trung tâm Hợp tác lao động nước ngoài Sông Đà được thành lập năm 1997. Năm 2003 công ty chuyển sang hoạt động theo mô hình cổ phần. Lĩnh vực hoạt động chính của công ty là cung cấp dịch vụ xuất khẩu lao động, đào tạo giáo dục, xuất khẩu giấy và kinh doanh thương mại và dịch vụ khác. Xuất khẩu lao động hiện nay là dịch vụ chính của Công ty chiếm khoảng 80% doanh thu. Tính đến thời điểm hiện nay, Công ty đã đưa trên 30.000 lượt lao động, chuyên gia đi làm việc có thời hạn trên 10 quốc gia và vùng lãnh thổ. Tổng số lao động hiện Công ty đang quản lý tại nước ngoài lên hơn 9.000 lao động. Hoạt động khai thác và chế biến khoáng sản: Sản lượng khai thác bình quân đạt 300m3/tháng. Công ty đang khai thác và chế biến đá Marble tại Myanmar, tổng mức đầu tư của dự án là 381 tỷ đồng. Sản phẩm của đá Marble của Công ty đã được xuất khẩu đến các thị trường như: Italia, Nhật Bản, Đài Loan...Ngày 21/12/2006, SDA chính thức giao dịch trên Sở Giao dịch Chứng khoán Hà Nội (HNX).",Tư vấn & Hỗ trợ Kinh doanh,Hàng & Dịch vụ Công nghiệp,Đào tạo & Việc làm,26206158,262061580000
SSB,74005,2845000000," - Ngày 25/03/1994: Ngân hàng Thương mại Cổ phần Đông Nam Á được thành lập theo Giấy phép số 0051/NH-GP của Ngân hàng Nhà nước Việt Nam;  - Năm 2012: Tăng vốn điều lệ lên 5.335 tỷ đồng;  - Năm 2013: Tăng vốn điều lệ lên 5.465 tỷ đồng;  - Tháng 12, 2018: Tăng vốn điều lệ lên 7.688 tỷ đồng;  - Tháng 09, 2019: Tăng vốn điều lệ lên 9.369 tỷ đồng;  - Tháng 10, 2020: Tăng vốn điều lệ lên 12.088 tỷ đồng;  - Ngày 30/12/2020: Niêm yết trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE);  - Ngày 24/03/2021: Giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE);  - Ngày 22/09/2021: Tăng vốn điều lệ lên 13,424 tỷ đồng;  - Ngày 24/12/2021: Tăng vốn điều lệ lên 14,784 tỷ đồng;  - Ngày 20/04/2022: Tăng vốn điều lệ lên 16,598 tỷ đồng;  - Ngày 15/08/2022: Tăng vốn điều lệ lên 19.808,9 tỷ đồng;  - Ngày 08/02/2023: Tăng vốn điều lệ lên 20.402,9 tỷ đồng;  - Ngày 24/07/2023: Tăng vốn điều lệ lên 24.537 tỷ đồng;  - Ngày 21/05/2024: Tăng vốn điều lệ lên 24.957 tỷ đồng;","Ngân hàng Thương mại Cổ phần Đông Nam Á (SSB) được thành lập vào năm 1994. Ngân hàng hoạt động trong lĩnh vực huy động, cấp tín dụng và các dịch vụ tài chính liên quan. SSB được niêm yết trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE) từ tháng 12/2020. Năm 2024, so với cùng kỳ, Biên lãi thuần (NIM) ở mức 3.48%, tăng 0.5%. Tỷ lệ nợ xấu ở mức 1.89%, giảm 0.05%. Tỷ lệ bao phủ nợ xấu ở mức 82.88%, giảm 2.62%. Lợi nhuận sau thuế công ty mẹ có giá trị bằng 4,8 nghìn tỷ đồng, tăng 30.98%. Tỷ suất lợi nhuận trên vốn chủ sở hữu (ROE) ở mức 14.75%, tăng 1.74%. SSB được niêm yết trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE) từ tháng 12/2020.",Ngân hàng,Ngân hàng,Ngân hàng,2845000000,28450000000000
PGI,73064,110896796, - Ngày 15/06/1995: Công ty Cổ phần Bảo hiểm PJICO được thành lập với vốn điều lệ ban đầu là 55 tỷ đồng;  - Ngày 15/4/2004: Tăng vốn điều lệ lên 70 tỷ đồng;  - Ngày 26/4/2007: Tăng vốn điều lệ lên 140 tỷ đồng;  - Năm 2007: Tăng vốn điều lệ lên 336 tỷ đồng;  - Năm 2010 Tăng vốn điều lệ lên 709 đồng;  - Ngày 09/06/2011: Niêm yết trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE);  - Ngày 29/07/2011: Giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE);  - Năm 2013: Chuyển đổi thành Tổng Công ty Cổ phần Bảo hiểm Petrolimex;  - Ngày 27/11/2017: Tăng vốn điều lệ lên 887.177.730.000 đồng;,"Tổng Công ty Cổ phần Bảo hiểm Petrolimex (PGI) có tiền thân là Công ty Cổ phần Bảo hiểm PJICO được thành lập vào năm 1995. PGI chuyển sang hoat động theo mô hình Tổng Công ty từ năm 2013. Tổng Công ty hiện đang triển khai và cung cấp trên 80 sản phẩm bảo hiểm trên toàn quốc, trong đó sản phẩm bảo hiểm đóng góp chủ yếu trong tổng phí bảo hiểm gốc của Công ty bao gồm: Bảo hiểm xe cơ giới, bảo hiểm hàng hải, bảo hiểm xây dựng lắp đặt công trình và bảo hiểm tài sản hỏa hoạn. Đây cũng là những sản phẩm có tỷ trọng doanh thu thu phí bảo hiểm gốc cao trong tổng doanh thu toàn Công ty và có tốc độ tăng trưởng tốt trong những năm gần đây. PGI được niêm yết trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE) từ năm 2011.",Bảo hiểm phi nhân thọ,Bảo hiểm,Bảo hiểm phi nhân thọ,110896796,1108967960000
PET,72980,107334831," - Tháng 06/1996: Tiền thân là Công ty Dịch vụ  - Du lịch Dầu khí được thành lập;  - Tháng 11/2000: Thành lập Xí nghiệp Dịch vụ Dầu khí Biển;  - Tháng 10/2001: Thành lập Xí nghiệp Dịch vụ  - Thương mại Dầu khí;  - Tháng 05/2000: Thành lập Xí nghiệp Dịch vụ Dầu khí Sài Gòn;  - Tháng 09/2006: Công ty được cổ phần hóa;  - Tháng 10/2006: Đổi tên thành Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí;  - Ngày 12/09/2007: Chính thức giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE);  - Ngày 18/11/2021: Tăng vốn điều lệ lên 904 tỷ đồng;  - Ngày 21/02/2023: Tăng vốn điều lệ lên 994.39 tỷ đồng;  - Ngày 04/10/2023: Tăng vốn điều lệ lên 1.073,34 tỷ đồng;","Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí (PET), tiền thân là Công ty Dịch vụ  - Du lịch Dầu khí được thành lập năm 1996. Năm 2006, Công ty thực hiện cổ phần hóa và đổi tên thành Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí. Công ty hoạt động chủ yếu trong lĩnh vực phân phối sản phẩm điện tử viễn thông và công nghệ thông tin, cung ứng vật tư thiết bị, cung ứng dịch vụ dầu khí trong đó dịch vụ catering là mảng dịch vụ truyền thống. Hệ thống phân phối và bán lẻ rộng khắp cả nước với hệ thống chi nhánh và kho bãi tại 11 tỉnh và 1.700 đại lý độc lập. PET hiện có ba đơn vị thành viên đang thực hiện mảng kinh doanh sản phẩm viễn thông, công nghệ thông tin và các sản phẩm điện máy, điện lạnh là Công ty Cổ phần Dịch vụ Phân phối Tổng hợp Dầu khí (PSD), Công ty Cổ phần Hội tụ Thông minh (Smartcom) và Công ty Cổ phần Phân phối Sản phẩm Công nghệ cao Dầu khí (PHTD). Mảng kinh doanh này được giao cho Công ty Cổ phần Thương mại Dịch vụ Dầu khí miền Trung (PSMT) thực hiện. Các sản phẩm công nghiệp trong ngành Dầu khí do Petrosetco phân phối bao gồm: hạt nhựa PolyPropylen (PP), khí hóa lỏng (LPG). Petrosetco đảm nhận việc bao tiêu các sản phẩm của ngành công nghiệp chế biến dầu khí như LPG, PP của nhà máy lọc dầu Dung Quất với sản lượng 36 ngàn tấn PP và 30 ngàn tấn LPG/năm. Ngày 12/09/2007, PET chính thức giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE).",Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,107334831,1073348310000
TGP,74860,13101325," - Ngày 09/08/2005: Công ty Cổ phần Trường Phú được thành lập với vốn điều lệ ban đầu là 100 tỷ đồng;  - Tháng 10/2006: Công ty hoàn thành xong dự án đầu tư và sản xuất các sản phẩm dây đồng cung cấp nguyên vật liệu đầu vào cho các nhà máy sản xuất dây cáp viễn thông, dây và cáp điện;  - Quý 4 năm 2007: Công ty hoàn thành các hạng mục về hạ tầng cơ sở (nhà xưởng, đường nội bộ, công trình phụ,..) tại Khu công nghiệp Phúc Điền  - Cẩm Giàng  - Hải Dương;  - Ngày 24/06/2009: Cổ phiếu của công ty chính thức giao dịch trên thị trường UPCOM;","Công ty Cổ phần Trường Phú (TGP) được thành lập vào năm 2015. Ngành nghề kinh doanh chủ yếu của công ty là sản xuất, kinh doanh mua bán, xuất nhập khẩu các loại dây và cáp, nguyên liệu để sản xuất cáp. Hiện nay công ty là một trong những đối tác uy tín, được lựa chọn của các nhà sản xuất và nhiều tập đoàn sử dụng các loại dây và cáp lớn trong nước. Qua quá trình xây dựng và phát triển đến nay công ty đã đi vào hoạt động ổn định, trên đà phát triển và đạt được một số thành quả tương đối khả quan. Công ty tập trung phát triển các loại sản phẩm dây đồng, dây điện dân dụng có tính năng ưu việt hơn hẳn các loại dây điện thông thường về điện trở suất, độ bền kéo, bền uốn, khả năng lớp cách điện, chịu được khí hậu ngoài trời nắng nóng. Các sản phẩm đã được hợp chuẩn theo TCVN 5844  - 1994 và TCVN 2103  - 1994. TGP được giao dịch trên thị trường UPCOM từ tháng 06/2009.",Điện tử & Thiết bị điện,Hàng & Dịch vụ Công nghiệp,Hàng điện & điện tử,13101325,131013250000
ONE,72832,7960310," - Ngày 06/10/1994: Tiền thân là Công ty TNHH Thương mại và Công nghệ Tin học Số 1, được thành lập với số vốn điều lệ ban đầu là 350 triệu đồng;  - Tháng 03/2001: Chuyển thành Công ty Cổ phần Thương mại và Công nghệ tin học Số 1, tăng vốn điều lệ lên 5 tỷ đồng;  - Tháng 07/2007: Tăng vốn điều lệ lên 10 tỷ đồng và đổi tên thành Công ty Cổ phần Truyền thông Số 1;  - Năm 2008: Tăng vốn điều lệ lên 20 tỷ đồng.  - Ngày 24/06/2008: Chính thức giao dịch trên Sở Giao dịch Chứng khoán Hà Nội (HNX).  - Tháng 05, 2010: Tăng vốn điều lệ lên 35,7 tỷ đồng.  - Tháng 01, 2011: Tăng vốn điều lệ lên 50 tỷ đồng.  - Ngày 29/09/2017: Tăng vốn điều lệ lên 79,6 tỷ đồng.  - Ngày 04/07/2023: Đổi tên thành Công ty Cổ phần Công nghệ ONE;","Công ty Cổ phần Công nghệ ONE (ONE), tiền thân là TNHH Thương mại và Công nghệ Tin học Số 1 được thành lập năm 1994. Năm 2001, Công ty chuyển đôi mô hình kinh doanh hoạt động là Công ty Cổ phần. Công ty chuyên về cung cấp dịch vụ điện tử, tin học, sản xuất chuyển giao phần mềm, tư vấn, thiết kế giải pháp tổng thể nhằm thiết lập, xây dựng hệ thống cơ sở hạ tầng công nghệ thông tin, viễn thông đồng bộ. Công ty có ưu thế cạnh tranh là đối tác duy nhất tại Việt Nam của một số những hãng viễn thông nổi tiếng trên thế giới như: Alcatel, Nortel. Công ty đang đứng trong top 10 doanh nghiệp hàng đầu Việt Nam trong lĩnh vực tích hợp hệ thống, cung cấp thiết bị tin học, viễn thông và giải pháp xây dựng cơ sở hạ tầng công nghệ thông tin viễn thông đồng bộ. Với 20 năm hoạt động trong lĩnh vực CNTT, ONE đã thực hiện hàng trăm dự án cho hàng chục khách hàng khác nhau, các dự án được triển khai khắp nơi, tại Việt Nam, các quốc gia lân cận cũng như tại các Châu lục khác. Ngày 24/06/2008, ONE chính thức giao dịch trên Sở Giao dịch Chứng khoán Hà Nội (HNX).",Thiết bị và Phần cứng,Công nghệ Thông tin,Phần cứng,7960310,79603100000
HVN,76440,3111498211," - Tháng 01/1956: Cục Hàng không dân dụng được thành lập;  - Tháng 04/1993: Hãng Hàng không Quốc gia Việt Nam được thành lập;  - Ngày 27/05/1995: Tổng Công ty Hàng không Việt Nam được thành lập theo Quyết định số 328/TTg của Thủ tướng Chính phủ;  - Năm 2003: Hoạt động theo mô hình Công ty mẹ-Công ty con theo Quyết định số 372/QĐ-TTg ngày 04/04/2003 của Thủ tướng Chính Phủ;  - Năm 2006: Trở thành thành viên chính thức của IATA;  - Năm 2010: Chuyển đổi thành Công ty TNNH MTV do Nhà nước làm chủ sở hữu và trở thành thành viên thứ 10 của Liên minh hàng không toàn cầu SkyTeam;  - Năm 2012: Tiếp nhận quản lý phần vốn góp của Nhà nước tại Công ty Cổ phần Hàng không Jetstar Pacific Airlines, trở thành cổ đông lớn nhất với tỷ lệ nắm giữ 68,46% vốn điều lệ;  - Tháng 09/2014: Thủ tướng Chính phủ phê duyệt phương án cổ phần hóa Công ty mẹ-Tổng Công ty Hàng không Việt Nam;  - Tháng 11/2014: Chào bán cổ phần lần đầu ra công chúng (IPO) tại Sở Giao dịch Chứng khoán thành phố Hồ Chí Minh (HOSE);  - Tháng 03/2015: Đại hội đồng cổ đông được tổ chức lần đầu thông qua Điều lệ Công ty Cổ phần;  - Ngày 01/04/2015: Chính thức hoạt động theo mô hình công ty cổ phần với vốn điều lệ 11.198.648.400.000 đồng;  - Tháng 07/2016: Tăng vốn điều lệ lên 12.275.337.780.000 đồng;  - Ngày 03/01/2017: Chính thức được giao dịch trên thị trường UPCOM;  - Ngày 26/02/2019: Tăng vốn điều lệ lên 14.182.908.470.000 đồng;  - Ngày 23/04/2019: Hủy đăng ký giao dịch trên thị trường UPCOM;  - Ngày 11/04/2019: Niêm yết trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE);  - Ngày 07/05/2019: Giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE);  - Ngày 11/11/2021: Tăng vốn điều lệ lên 22.143.941.740.000 đồng;","Tổng Công ty Hàng không Việt Nam (HVN) có tiền thân là Cục Hàng không dân dụng, được thành lập vào tháng 01/1956. Hoạt động sản xuất chính của Tổng Công ty là cung cấp dịch vụ vận tải hàng không. Vietnam Airlines chính thức hoạt động theo mô hình công ty cổ phần từ năm 2015. Năm 2024, HVN chiếm 30.6% thị phần hàng không. Ngoài hệ thống kinh doanh trong nước, hiện tại mạng lưới gần 100 đường bay nội địa và quốc tế, kết nối với hơn 1.150 điểm đến toàn cầu. HVN được Niêm yết trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE) từ tháng 04/2019.",Du lịch & Giải trí,Du lịch và Giải trí,Hàng không,3111498211,31114982110000
KLB,71534,582170526," - Ngày 27/10/1995: Ngân hàng TMCP Nông Thôn Kiên Long được thành lập với vốn điều lệ ban đầu là 1,2 tỷ đồng;  - Năm 2006: Đổi tên thành Ngân hàng TMCP Kiên Long;  - Năm 2007: Tăng vốn điều lệ lên 580 tỷ đồng;  - Ngày 02/07/2007: Trở thành công ty đại chúng;  - Ngày 22/12/ 2008: Tăng vốn điều lệ lên 1.000 tỷ đồng;  - Năm 2010: Cung cấp dịch vụ SMS Banking;  - Ngày 30/06/2010: Tăng vốn điều lệ lên 2.000 tỷ đồng;  - Ngày 31/12/2010: Tăng vốn điều lệ lên 3.000 tỷ đồng;  - Năm 2012: Kết nối hệ thống ATM, POS với hệ thống các ngân hàng và có đủ điều kiện cung ứng dịch vụ ngoại hối;  - Năm 2013: Triển khai ngân hàng điện tử  - E Banking và kết nối hệ thống Smartlink;  - Năm 2014: Triển khai ứng dụng Kienlong Mobile Banking và gia nhập hệ thống Visa quốc tế;  - Năm 2015: Triển khai dịch vụ nộp thuế điện tử, thanh toán trực tuyến;  - Ngày 29/06/2017: Giao dịch trên thị trường UPCOM;  - Ngày 27/09/2018: Tăng vốn điều lệ lên 3.236.957.960.000 đồng;  - Ngày 17/12/2021: Tăng vốn điều lệ lên 3.652.818.780.000 đồng;  - Ngày 18/12/2025: Chấp thuận niêm yết trên Sở giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE);  - Ngày 07/01/2026: Huỷ đăng ký giao dịch trên thị trường UPCOM;  - Ngày 15/01/2026: Giao dịch trên Sở giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE);","Ngân hàng Thương mại Cổ phần Kiên Long (KLB) có tiền thân là Ngân hàng TMCP Nông Thôn Kiên Long, được thành lập vào năm 1995. Ngân hàng hoạt động trong lĩnh vực huy động vốn, cấp tín dụng và cung cấp các dịch vụ ngân hàng khác. KLB được giao dịch trên thị trường UPCOM từ tháng 06/2017. Năm 2024, so với cùng kỳ, Biên lãi thuần (NIM) ở mức 3.9%, tăng 1.3%. Tỷ lệ nợ xấu ở mức 2.02%, tăng 0.09%. Tỷ lệ bao phủ nợ xấu ở mức 79.02%, tăng 16.8%. Lợi nhuận sau thuế công ty mẹ có giá trị bằng 887,5 tỷ đồng, tăng 54.62%. Tỷ suất lợi nhuận trên vốn chủ sở hữu (ROE) ở mức 14.36%, tăng 3.87%. Ngày 15/01/2026, KLB chính thức giao dịch trên Sở giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE).",Ngân hàng,Ngân hàng,Ngân hàng,582170526,5821705260000
